FullName,FullAddress,Country,Email,Phone
Marie Muller,"Boulevard Saint-Michel 5, 13503 Paris",Germany, marie.muller@mail.com ,+49610494723
Claire Brown,"Rue de la Paix 65, 17662 Nice",France,claire.brown@yahoo.com,+33679089023
Anna Bernard,"Avenue Victor Hugo 176, 87437 Nice",Italy,anna.bernard@hotmail.com,0039648869768
Luc Bernard,"Avenue Victor Hugo 162, 40709 Rome",UK,luc.bernard@yahoo.com,0620214982
John Smith,"Place de la République 90, 54825 Paris",Spain,john.smith@yahoo.com,+34658405120
Luc Garcia,"Rue de la Paix 25, 94581 Nice",Germany,luc.garcia@hotmail.com,0049670326111
Robert Smith,"Chemin Vert 192, 95312 London",Germany,robert.smith@hotmail.com,0692964362
Robert Durand,"Rue de la Paix 200, 74842 Madrid",Germany, robert.durand@yahoo.com ,+49625888265
Claire Smith,"Avenue Victor Hugo 13, 67341 Toulouse",Germany,claire.smith@gmail.com,0600181475
John Dupont,"Avenue Victor Hugo 86, 24446 Toulouse",UK,john.dupont@mail.com,0600235084
Luc Smith,"Place de la République 156, 69358 Paris",France, luc.smith@mail.com ,+33662146743
Sophie Brown,"Rue de la Paix 185, 17786 Madrid",France,sophie.brown@mail.com,0033604938195
Marie Rossi,"Place de la République 146, 37524 Rome",UK, marie.rossi@yahoo.com ,+44656284412
Robert Rossi,"Place de la République 10, 71122 Bordeaux",Italy,robert.rossi@hotmail.com,+39652800900
Alice Dupont,"Rue de la Paix 132, 25639 Berlin",Germany,alice.dupont@mail.com,0687869987
Sophie Petit,"Avenue Victor Hugo 153, 80837 Lyon",Germany,sophie.petit@mail.com,0049629158090
Sophie Smith,"Rue de la Paix 137, 26694 Paris",Italy,sophie.smith@yahoo.com,+39617202700
Marie Muller,"Avenue Victor Hugo 136, 17514 Madrid",France,marie.muller@mail.com,+33623905159
Jean Muller,"Chemin Vert 161, 53377 Nice",France,jean.muller@gmail.com,0033684599293
Paul Martin,"Avenue Victor Hugo 185, 55112 Nice",Italy,paul.martin@yahoo.com,+39682972766
Marie Rossi,"Avenue Victor Hugo 77, 30877 Paris",UK,marie.rossi@mail.com,0607543714
Claire Muller,"Chemin Vert 71, 87377 Bordeaux",Germany,claire.muller@yahoo.com,0049644644109
Anna Durand,"Place de la République 189, 14055 Bordeaux",Italy,anna.durand@gmail.com,+39668461961
Luc Garcia,"Place de la République 122, 93261 Marseille",UK,luc.garcia@mail.com,0602641165
John Garcia,"Rue de la Paix 160, 26200 London",France,john.garcia@mail.com,0033662036605
Jean Garcia,"Boulevard Saint-Michel 165, 74907 Madrid",Spain,jean.garcia@hotmail.com,0611643107
John Dupont,"Avenue Victor Hugo 175, 27376 Rome",Italy,john.dupont@mail.com,0039648521883
Luc Muller,"Rue de la Paix 174, 71988 Lyon",Italy,luc.muller@yahoo.com,0039601321296
Jean Dupont,"Chemin Vert 60, 88018 Bordeaux",Spain, jean.dupont@hotmail.com ,+34605892183
Claire Rossi,"Place de la République 127, 31949 Paris",France,claire.rossi@mail.com,+33690957358
John Rossi,"Rue de la Paix 157, 81637 Toulouse",Italy,john.rossi@hotmail.com,0039615858799
Robert Martin,"Boulevard Saint-Michel 124, 28037 Rome",Germany,robert.martin@mail.com,+49607320162
Sophie Dupont,"Place de la République 174, 40334 Bordeaux",Spain, sophie.dupont@mail.com ,0034656926513
Jean Martin,"Avenue Victor Hugo 166, 74031 Bordeaux",Germany, jean.martin@yahoo.com ,0642151701
Jean Rossi,"Rue de la Paix 23, 31673 Berlin",Italy, jean.rossi@mail.com ,0039693272175
Jean Martin,"Chemin Vert 197, 96102 Marseille",France, jean.martin@gmail.com ,0679738727
John Rossi,"Chemin Vert 182, 65454 Paris",Italy,john.rossi@gmail.com,0039608113582
John Muller,"Boulevard Saint-Michel 27, 30997 Marseille",UK,john.muller@yahoo.com,0044676672442
Paul Smith,"Rue de la Paix 186, 55002 Madrid",UK,paul.smith@gmail.com,0044668202828
Sophie Dupont,"Rue de la Paix 118, 95261 Berlin",UK,sophie.dupont@yahoo.com,0666613282
John Smith,"Place de la République 20, 32695 Marseille",UK,john.smith@gmail.com,+44666803925
Luc Muller,"Avenue Victor Hugo 190, 29111 Rome",France,luc.muller@mail.com,0604360810
Marie Brown,"Rue de la Paix 147, 89931 Nice",Spain,marie.brown@mail.com,+34679997918
Sophie Dupont,"Place de la République 107, 85861 Madrid",Germany,sophie.dupont@gmail.com,0049674218382
Robert Petit,"Place de la République 200, 60189 London",Spain,robert.petit@hotmail.com,0034677194898
Jean Muller,"Avenue Victor Hugo 138, 62673 Paris",Italy, jean.muller@gmail.com ,0620196104
Jean Rossi,"Chemin Vert 175, 67581 Rome",France,jean.rossi@hotmail.com,+33656099528
Robert Garcia,"Rue de la Paix 126, 91355 Bordeaux",Spain, robert.garcia@yahoo.com ,0680731824
Sophie Muller,"Rue de la Paix 74, 32540 Nice",Italy,sophie.muller@mail.com,0649342978
Claire Rossi,"Chemin Vert 124, 76910 Nice",UK,claire.rossi@hotmail.com,0678523733
