Email	City	FirstName	LastName	Phone	Country	ZipCode	Street
 anna.garcia@yahoo.com 	Paris	Anna	Garcia	0636302029	Germany	47344	Place de la République 52
jean.bernard@gmail.com	Paris	Jean	Bernard	+49626382690	Germany	62720	Rue de la Paix 179
luc.petit@yahoo.com	Paris	Luc	Petit	0044687166020	UK	91550	Place de la République 122
paul.brown@hotmail.com	Berlin	Paul	Brown	0671149758	Italy	77486	Place de la République 85
 paul.petit@yahoo.com 	Toulouse	Paul	Petit	+49639632531	Germany	99911	Avenue Victor Hugo 23
sophie.garcia@yahoo.com	Madrid	Sophie	Garcia	0611053180	Italy	44292	Avenue Victor Hugo 110
luc.durand@yahoo.com	Bordeaux	Luc	Durand	0617102154	Germany	96292	Chemin Vert 50
sophie.brown@hotmail.com	Rome	Sophie	Brown	0039619232885	Italy	99005	Chemin Vert 195
marie.brown@gmail.com	Bordeaux	Marie	Brown	+34693599682	Spain	60122	Chemin Vert 118
claire.durand@gmail.com	BORDEAUX	CLAIRE	DURAND	0696281276	UK	82896	AVENUE VICTOR HUGO 102
 robert.petit@hotmail.com 	LYON	ROBERT	PETIT	+44610188634	UK	48637	AVENUE VICTOR HUGO 146
alice.brown@yahoo.com	Lyon	Alice	Brown	0033614305488	France	86377	Chemin Vert 55
sophie.petit@hotmail.com	Toulouse	Sophie	Petit	0044675332765	UK	16330	Rue de la Paix 129
claire.rossi@hotmail.com	LYON	CLAIRE	ROSSI	0044618044196	UK	99975	CHEMIN VERT 15
 anna.muller@yahoo.com 	Bordeaux	Anna	Muller	0621639477	France	16534	Avenue Victor Hugo 154
 john.dupont@gmail.com 	Madrid	John	Dupont	0615186122	UK	69229	Avenue Victor Hugo 100
 john.rossi@mail.com 	Bordeaux	John	Rossi	0689186901	Italy	50324	Chemin Vert 80
 sophie.petit@hotmail.com 	PARIS	SOPHIE	PETIT	0049658110747	Germany	16495	RUE DE LA PAIX 109
claire.garcia@hotmail.com	Paris	Claire	Garcia	0033662285430	France	31643	Avenue Victor Hugo 149
anna.rossi@mail.com	NICE	ANNA	ROSSI	0646128760	Italy	62473	PLACE DE LA RÉPUBLIQUE 101
robert.smith@yahoo.com	Bordeaux	Robert	Smith	+34620968169	Spain	89865	Avenue Victor Hugo 158
paul.durand@hotmail.com	Nice	Paul	Durand	+34605083998	Spain	13810	Avenue Victor Hugo 148
 anna.bernard@gmail.com 	LYON	ANNA	BERNARD	0044665363031	UK	85614	AVENUE VICTOR HUGO 6
 claire.garcia@mail.com 	ROME	CLAIRE	GARCIA	0034606066094	Spain	89565	AVENUE VICTOR HUGO 89
luc.garcia@gmail.com	Rome	Luc	Garcia	0044619900379	UK	43070	Avenue Victor Hugo 28
alice.petit@yahoo.com	Toulouse	Alice	Petit	0671422194	Spain	57813	Boulevard Saint-Michel 173
